date;time;activity;acceleration_x;acceleration_y;acceleration_z;gyro_x;gyro_y;gyro_z
01/07/23;13:51:17:446569025;0;0.6670;-1.3503;-0.0880;-0.8094;-0.7938;-1.4348
01/07/23;13:51:17:46806991;0;0.4044;-0.8056;-0.0956;0.6925;-0.2179;2.5750
01/07/23;13:51:17:646152973;0;0.2704;-0.8633;0.1293;-0.4173;-0.1904;-2.6759
01/07/23;13:51:17:846502006;0;0.4690;-1.0740;0.0219;0.0388;1.1491;1.6982
01/07/23;13:51:18:246815025;0;0.6364;-1.0452;-0.2400;0.1163;-0.1033;1.0822
01/07/23;13:51:18:446740984;0;0.5683;-1.2486;-0.1310;-0.4556;-0.5281;-1.2407
01/07/23;13:51:18:46802997;0;0.2985;-0.7172;-0.0693;0.2326;0.4321;2.1009
01/07/23;13:51:18:646052002;0;0.2911;-0.7748;0.0163;-0.2345;-0.0148;-2.5884
01/07/23;13:51:18:846947014;0;0.4477;-1.1574;-0.0172;-0.1081;0.4016;0.6700
02/07/23;18:24:42:772746980;1;-0.1120;-0.5047;0.2588;0.1387;0.1723;1.6838
02/07/23;18:24:42:972736001;1;1.5887;-1.1418;-1.7516;-0.5748;2.0671;2.2170
02/07/23;18:24:43:172815978;1;0.1346;0.6898;-0.2275;-0.5134;0.2842;-1.3060
02/07/23;18:24:43:372093975;1;1.6025;-1.1478;-1.5023;-0.7334;-2.3388;-2.8014
02/07/23;18:24:43:572999000;1;-0.2916;-0.5423;0.2999;1.0377;-0.1568;0.7859
02/07/23;18:24:43:772795975;1;1.8394;-1.3158;-1.6182;0.8010;-1.2030;2.5840
02/07/23;18:24:43:972702980;1;0.3710;0.5030;-0.5227;-0.5616;1.0858;0.4947
02/07/23;18:24:44:172457993;1;1.5455;-0.3300;-1.3915;0.5369;-3.6413;-2.5534
02/07/23;18:24:44:372058987;1;0.3261;-0.5204;-0.1599;0.5022;-0.9803;0.1833
02/07/23;18:24:44:572745025;1;0.8212;-1.1629;-1.0005;0.8767;-0.0621;3.3863
02/07/23;18:24:44:772711992;1;0.2489;0.5507;-0.4590;-0.3876;0.9995;1.2152
02/07/23;18:24:44:972842991;1;2.2765;-0.5189;-1.7830;0.6566;-0.9439;-3.0110
08/07/23;11:46:28:80079019;0;0.1536;-0.8490;-0.2039;1.4017;0.4898;1.2828
08/07/23;11:46:28:879792988;0;0.1261;-0.9647;-0.1323;1.4766;0.2572;1.7076
08/07/23;11:46:29:279769003;0;0.3775;-1.0429;-0.4276;-0.5043;-0.0134;-0.5476
08/07/23;11:46:29:479791998;0;0.1532;-1.0822;-0.1125;-2.1813;0.9333;-1.8006
08/07/23;11:46:29:680262982;0;0.2925;-0.8955;-0.0843;-0.8281;0.0709;-0.9612
08/07/23;11:46:29:79786002;0;0.3407;-0.9029;-0.3784;0.9615;-0.3825;0.6371
08/07/23;11:46:29:879835009;0;0.3585;-0.8952;-0.3201;1.8650;-0.7333;2.5236
08/07/23;11:46:30:279780983;0;0.2508;-1.1940;-0.4472;-0.0908;-0.1855;0.1423
08/07/23;11:46:30:479784011;0;0.4684;-1.2662;-0.3256;-1.1366;-1.8797;-1.3145
08/07/23;11:46:30:679889023;0;0.1619;-0.7812;-0.0599;-2.1113;0.8186;-1.4870
08/07/23;11:46:30:79559981;0;0.2801;-0.8198;-0.2568;0.9567;1.8570;1.1966
